[-0.04135944  0.        ], [1], 0.0, [-0.03776384  0.07397692], False, False;
[-0.03776384  0.07397692], [0], 0.0, [0.0471474  1.67274603], False, False;
[0.0471474  1.67274603], [2], 0.0, [0.14882727 0.42268481], False, False;
[0.14882727 0.42268481], [2], 0.0, [ 0.1188162  -1.04194154], False, False;
[ 0.1188162  -1.04194154], [0], 0.0, [0.12397252 1.14767056], False, False;
[0.12397252 1.14767056], [2], 0.0, [ 0.17275711 -0.14111271], False, False;
[ 0.17275711 -0.14111271], [2], 0.0, [ 0.08628056 -1.6430385 ], False, False;
[ 0.08628056 -1.6430385 ], [0], 0.0, [0.02106216 0.30305183], False, False;
[0.02106216 0.30305183], [1], 0.0, [0.05980353 0.49388976], False, False;
[0.05980353 0.49388976], [2], 0.0, [ 0.02887602 -1.130885  ], False, False;
[ 0.02887602 -1.130885  ], [0], 0.0, [0.0184407  0.91629867], False, False;
[0.0184407  0.91629867], [2], 0.0, [ 0.01572325 -0.97223977], False, False;
[ 0.01572325 -0.97223977], [0], 0.0, [0.01509705 0.95935981], False, False;
[0.01509705 0.95935981], [2], 0.0, [ 0.04567273 -0.32993309], False, False;
[ 0.04567273 -0.32993309], [0], 0.0, [0.11520844 1.75743661], False, False;
[0.11520844 1.75743661], [2], 0.0, [0.22571677 0.52303557], False, False;
[0.22571677 0.52303557], [2], 0.0, [ 0.23132212 -0.40731627], False, False;
[ 0.23132212 -0.40731627], [2], 0.0, [ 0.1254312  -1.77902942], False, False;
[ 0.1254312  -1.77902942], [0], 0.0, [0.04416868 0.11070424], False, False;
[0.04416868 0.11070424], [1], 0.0, [0.05912172 0.1969145 ], False, False;
[0.05912172 0.1969145 ], [1], 0.0, [0.08354626 0.30554032], False, False;
[0.08354626 0.30554032], [2], 0.0, [ 0.02464442 -1.51915686], False, False;
[ 0.02464442 -1.51915686], [2], 0.0, [-0.21633936 -3.42290948], False, False;
[-0.21633936 -3.42290948], [0], 0.0, [-0.53728934 -3.18812763], False, False;
[-0.53728934 -3.18812763], [0], 0.0, [-0.89418952 -4.12678277], False, False;
[-0.89418952 -4.12678277], [0], 0.0, [-1.39490579 -6.08488609], False, False;
[-1.39490579 -6.08488609], [2], -1.0, [-2.14838991 -8.88848198], True, True;
[0.31495463 0.        ], [2], 0.0, [ 0.27956879 -0.73079111], False, False;
[ 0.27956879 -0.73079111], [2], 0.0, [ 0.17173509 -1.49368461], False, False;
[ 0.17173509 -1.49368461], [0], 0.0, [0.15098578 1.06901847], False, False;
[0.15098578 1.06901847], [2], 0.0, [ 0.18556298 -0.35505394], False, False;
[ 0.18556298 -0.35505394], [1], 0.0, [0.17580258 0.1544451 ], False, False;
[0.17580258 0.1544451 ], [2], 0.0, [ 0.12878651 -1.12457345], False, False;
[ 0.12878651 -1.12457345], [0], 0.0, [0.12198635 0.98513677], False, False;
[0.12198635 0.98513677], [2], 0.0, [ 0.14113478 -0.58995396], False, False;
[ 0.14113478 -0.58995396], [2], 0.0, [ 0.01089615 -2.09342877], False, False;
[ 0.01089615 -2.09342877], [0], 0.0, [-0.11317339 -0.46179365], False, False;
[-0.11317339 -0.46179365], [0], 0.0, [-0.10918388  0.54401094], False, False;
[-0.10918388  0.54401094], [0], 0.0, [0.01520008 2.01710931], False, False;
[0.01520008 2.01710931], [2], 0.0, [0.14894843 0.73813284], False, False;
[0.14894843 0.73813284], [2], 0.0, [ 0.17081532 -0.28711529], False, False;
[ 0.17081532 -0.28711529], [1], 0.0, [0.17389296 0.35035424], False, False;
[0.17389296 0.35035424], [2], 0.0, [ 0.1591781  -0.65387749], False, False;
[ 0.1591781  -0.65387749], [2], 0.0, [ 0.03097621 -1.9880413 ], False, False;
[ 0.03097621 -1.9880413 ], [0], 0.0, [-0.0971425  -0.64895355], False, False;
[-0.0971425  -0.64895355], [0], 0.0, [-0.08541328  0.89077667], False, False;
[-0.08541328  0.89077667], [1], 0.0, [-0.01099541  0.63988014], False, False;
[-0.01099541  0.63988014], [2], 0.0, [-0.0247685  -0.92315884], False, False;
[-0.0247685  -0.92315884], [0], 0.0, [-0.05222939  0.35776924], False, False;
[-0.05222939  0.35776924], [1], 0.0, [-0.0375349  -0.05552787], False, False;
[-0.0375349  -0.05552787], [1], 0.0, [-0.06683044 -0.546973  ], False, False;
[-0.06683044 -0.546973  ], [0], 0.0, [-0.02954814  1.31507   ], False, False;
[-0.02954814  1.31507   ], [2], 0.0, [-0.00387537 -0.78705174], False, False;
[-0.00387537 -0.78705174], [0], 0.0, [0.01106318 1.09440652], False, False;
[0.01106318 1.09440652], [2], 0.0, [ 0.02814129 -0.74282408], False, False;
[ 0.02814129 -0.74282408], [0], 0.0, [0.03186114 0.8193128 ], False, False;
[0.03186114 0.8193128 ], [2], 0.0, [ 0.03949693 -0.66208705], False, False;
[ 0.03949693 -0.66208705], [0], 0.0, [0.06511814 1.18858014], False, False;
[0.06511814 1.18858014], [2], 0.0, [0.12530083 0.05153688], False, False;
[0.12530083 0.05153688], [2], 0.0, [ 0.0806539  -0.97151442], False, False;
[ 0.0806539  -0.97151442], [0], 0.0, [0.07831468 0.92347893], False, False;
[0.07831468 0.92347893], [2], 0.0, [ 0.08231893 -0.84091952], False, False;
[ 0.08231893 -0.84091952], [0], 0.0, [0.08189905 0.83229594], False, False;
[0.08189905 0.83229594], [2], 0.0, [ 0.11186521 -0.21485274], False, False;
[ 0.11186521 -0.21485274], [1], 0.0, [ 0.09350774 -0.16282463], False, False;
[ 0.09350774 -0.16282463], [1], 0.0, [0.09563795 0.20663233], False, False;
[0.09563795 0.20663233], [2], 0.0, [ 0.03443842 -1.46774675], False, False;
[ 0.03443842 -1.46774675], [0], 0.0, [-0.0384341  -0.03155168], False, False;
[-0.0384341  -0.03155168], [1], 0.0, [-0.06193353 -0.45177511], False, False;
